NumeroLinha;Linha;Nome
433;5508B;AARAO REIS VIA PRIMEIRO DE MAIO
436;5508B-03;AARAO REIS VIA PRIMEIRO DE MAIO
437;5513;JULIANA VIA ETELVINA CARNEIRO
438;5513-01;JULIANA VIA ETELVINA CARNEIRO
440;5513-03;JULIANA VIA ETELVINA CARNEIRO
441;5517A;MINAS CAIXA VIA SERRA VERDE A
451;5521B;LAJEDO
453;5521B-03;LAJEDO
454;5521C;NOVO AARAO REIS
460;5522B;CASAS POPULARES
463;5523A-01;CONJUNTO PAULO VI
464;5523A-02;CONJUNTO PAULO VI - ATEND. RUA SÃO JACINTO
466;5523B;PAULO VI
469;5525A-01;BELMONTE
472;5525B-01;PARQUE BELMONTE
473;5534;CONJUNTO ZILAH SPOSITO
475;5534-02;CONJUNTO ZILAH SPOSITO
476;5537;SERRA VERDE
479;5540;JARDIM LEBLON VIA RIO BRANCO
480;5540-01;JARDIM LEBLON VIA RIO BRANCO
482;60-01;VENDA NOVA/CENTRO
483;60-02;VENDA NOVA/CENTRO
485;601;JULIANA/NOVA YORK
488;606-01;FLORAMAR/JARDIM EUROPA
492;609;SERRA VERDE/EST. PAMPULHA VIA SANTA MONICA
493;609-01;SERRA VERDE/EST. PAMPULHA VIA SANTA MONICA
495;61-01;EST. VENDA NOVA/CENTRO-DIRETA
498;61-04;ESTACAO VENDA NOVA/CENTRO-DIRETA
499;613;CIRCULAR CEU ANIL
500;613-01;CIRCULAR CEU ANIL
501;62;EST.VENDA NOVA/SAVASSI-HOSPITAIS
502;62-01;EST.VENDA NOVA/SAVASSI-HOSPITAIS
504;621;LAGOA/ESTACAO VENDA NOVA
505;621-01;EST. VENDA NOVA/LAGOA
507;622;LAGOINHA/ESTACAO VENDA NOVA
508;622-01;EST. VENDA NOVA/LAGOINHA
509;622-02;LAGOINHA/ESTACAO VENDA NOVA
511;622-06;LAGOINHA/ESTACAO VENDA NOVA
514;623-02;NOTURNO
515;624;MARIA HELENA A/ESTACAO VENDA NOVA
517;624-02;NOTURNO
518;624-03;MARIA HELENA A/ESTACAO VENDA NOVA
519;624-04;MARIA HELENA A/ESTACAO VENDA NOVA
521;625-01;EST.VENDA NOVA/MARIA HELENA B
524;625-04;MARIA HELENA B/ESTACAO VENDA NOVA
525;626;ESTAÇÃO VENDA NOVA/ ESPLENDOR - VIA NOVA AMERICA
526;626-01;LANDI VIA NOVA AMERICA/ESTACAO VENDA NOVA
529;626-04;LANDI VIA NOVA AMERICA/ESTACAO VENDA NOVA
531;627;ESTAÇÃO VENDA NOVA / MANTIQUEIRA
535;627-04;MANTIQUEIRA/ESTACAO VENDA NOVA
537;628-01;NOVA YORK/ESTACAO VENDA NOVA
540;63;EST.VENDA NOVA/AV. ANTONIO CARLOS
542;63-02;RETORNO NO VIADUTO SÃO FRANCISCO
543;630;ESTAÇÃO VILARINHO/SERRA VERDE - VIA  AV.SALAMANCA
545;631;ESTAÇÃO VILARINHO / SERRA VERDE - VIA MINAS CAIXA
546;631-01;EST.VILAR. / S. VERDE- MINAS CAIXA
548;633-01;EST. VILARINHO/JD COMERCIARIOS
550;64-01;EST.V.NOVA/ASSEMB.VIA CARLOS LUZ
551;64-02;ESTACAO VENDA NOVA/SANTO AGOSTINHO V.CARLOS LUZ
